location,lat,lon
"Thành phố Cẩm Phả, Tỉnh Quảng Ninh",20.9096394360001,107.169493222
"Thành phố Uông Bí, Tỉnh Quảng Ninh",20.9749984220001,106.658003799
"Huyện Bình Liêu, Tỉnh Quảng Ninh",21.437263537,107.273252613
"Huyện Tiên Yên, Tỉnh Quảng Ninh",21.201776684,107.204659944
"Huyện Đầm Hà, Tỉnh Quảng Ninh",21.223098524,107.467088107
"Huyện Hải Hà, Tỉnh Quảng Ninh",21.25701063,107.515988197
"Huyện Ba Chẽ, Tỉnh Quảng Ninh",21.13036936,106.973174804
"Huyện Vân Đồn, Tỉnh Quảng Ninh",20.6873066970001,107.283954903
"Thị xã Đông Triều, Tỉnh Quảng Ninh",21.0116676480001,106.439197076
"Thị xã Quảng Yên, Tỉnh Quảng Ninh",20.8195720780001,106.767709893
"Huyện Cô Tô, Tỉnh Quảng Ninh",20.9441774160001,107.731748893
"Thành phố Bắc Giang, Tỉnh Bắc Giang",21.2163692440001,106.140516706
"Huyện Yên Thế, Tỉnh Bắc Giang",21.4227307670001,106.030953483
"Huyện Tân Yên, Tỉnh Bắc Giang",21.309046112,106.006577511
"Huyện Lạng Giang, Tỉnh Bắc Giang",21.2731108790001,106.166407708
"Huyện Lục Nam, Tỉnh Bắc Giang",21.1660383550001,106.291539222
"Huyện Lục Ngạn, Tỉnh Bắc Giang",21.2653363810001,106.443538667
"Huyện Sơn Động, Tỉnh Bắc Giang",21.149229458,106.67424124
"Huyện Yên Dũng, Tỉnh Bắc Giang",21.1219011360001,106.142132108
"Huyện Việt Yên, Tỉnh Bắc Giang",21.1982040890001,106.004080604
"Huyện Hiệp Hòa, Tỉnh Bắc Giang",21.2227875200001,105.880524532
"Thành phố Việt Trì, Tỉnh Phú Thọ",21.264762967,105.291606859
"Thị xã Phú Thọ, Tỉnh Phú Thọ",21.3643615570001,105.176694677
"Huyện Đoan Hùng, Tỉnh Phú Thọ",21.5107455780001,105.016205259
"Huyện Hạ Hoà, Tỉnh Phú Thọ",21.483569662,104.867987175
"Huyện Thanh Ba, Tỉnh Phú Thọ",21.3244124620001,105.076967214
"Huyện Phù Ninh, Tỉnh Phú Thọ",21.3714925030001,105.211559111
"Huyện Yên Lập, Tỉnh Phú Thọ",21.201355859,104.877196652
"Huyện Cẩm Khê, Tỉnh Phú Thọ",21.268795073,104.978250247
"Huyện Tam Nông, Tỉnh Phú Thọ",21.21654441,105.146745125
"Huyện Lâm Thao, Tỉnh Phú Thọ",21.246884784,105.249266015
"Huyện Thanh Sơn, Tỉnh Phú Thọ",20.916935134,105.035338841
"Huyện Thanh Thuỷ, Tỉnh Phú Thọ",21.00235674,105.232714058
"Huyện Tân Sơn, Tỉnh Phú Thọ",21.015017238,104.813587009
"Thành phố Vĩnh Yên, Tỉnh Vĩnh Phúc",21.264866016,105.548261162
"Thành phố Phúc Yên, Tỉnh Vĩnh Phúc",21.212406753,105.680554805
"Huyện Lập Thạch, Tỉnh Vĩnh Phúc",21.294770897,105.423443899
"Huyện Tam Dương, Tỉnh Vĩnh Phúc",21.2749269770001,105.499601421
"Huyện Tam Đảo, Tỉnh Vĩnh Phúc",21.3442398180001,105.487357017
"Huyện Bình Xuyên, Tỉnh Vĩnh Phúc",21.2157482750001,105.603170444
"Huyện Yên Lạc, Tỉnh Vĩnh Phúc",21.152331781,105.522278095
"Huyện Vĩnh Tường, Tỉnh Vĩnh Phúc",21.154962594,105.44328332
"Huyện Sông Lô, Tỉnh Vĩnh Phúc",21.3258363730001,105.322688363
"Thành phố Bắc Ninh, Tỉnh Bắc Ninh",21.1216938850001,106.019019912
"Huyện Yên Phong, Tỉnh Bắc Ninh",21.156756253,105.90472447
"Huyện Quế Võ, Tỉnh Bắc Ninh",21.073621012,106.088364745
"Huyện Tiên Du, Tỉnh Bắc Ninh",21.0691977870001,105.969225625
"Thị xã Từ Sơn, Tỉnh Bắc Ninh",21.069932619,105.912657279
"Huyện Thuận Thành, Tỉnh Bắc Ninh",20.9833313010001,105.998939353
"Huyện Gia Bình, Tỉnh Bắc Ninh",21.0126103220001,106.128601089
"Huyện Lương Tài, Tỉnh Bắc Ninh",20.968238797,106.137677863
"Thành phố Hải Dương, Tỉnh Hải Dương",20.893097186,106.260091489
"Thành phố Chí Linh, Tỉnh Hải Dương",21.0196751500001,106.295474842
"Huyện Nam Sách, Tỉnh Hải Dương",20.956524116,106.271658554
"Thị xã Kinh Môn, Tỉnh Hải Dương",20.930747308,106.405853217
"Huyện Kim Thành, Tỉnh Hải Dương",20.8512401,106.387710799
"Huyện Thanh Hà, Tỉnh Hải Dương",20.799886573,106.345087291
"Huyện Cẩm Giàng, Tỉnh Hải Dương",20.8998500370001,106.126676876
"Huyện Bình Giang, Tỉnh Hải Dương",20.81820952,106.124641012
"Huyện Gia Lộc, Tỉnh Hải Dương",20.7768429340001,106.23820243
"Huyện Tứ Kỳ, Tỉnh Hải Dương",20.720390762,106.307615841
"Huyện Ninh Giang, Tỉnh Hải Dương",20.6893068690001,106.262455832
"Huyện Thanh Miện, Tỉnh Hải Dương",20.6841224030001,106.131451957
"Quận Hồng Bàng, Thành phố Hải Phòng",20.853563385,106.599478253
"Quận Ngô Quyền, Thành phố Hải Phòng",20.8274991910001,106.67954309
"Quận Lê Chân, Thành phố Hải Phòng",20.815404433,106.658564394
"Quận Hải An, Thành phố Hải Phòng",20.7787740050001,106.69993759
"Quận Kiến An, Thành phố Hải Phòng",20.7689883940001,106.594201342
"Quận Đồ Sơn, Thành phố Hải Phòng",20.665754792,106.709687978
"Quận Dương Kinh, Thành phố Hải Phòng",20.7412058310001,106.648343889
"Huyện Thuỷ Nguyên, Thành phố Hải Phòng",20.8639547290001,106.55473953
"Huyện An Dương, Thành phố Hải Phòng",20.81672804,106.527184629
"Huyện An Lão, Thành phố Hải Phòng",20.725578355,106.477082971
"Huyện Kiến Thuỵ, Thành phố Hải Phòng",20.6862323410001,106.601301037
"Huyện Tiên Lãng, Thành phố Hải Phòng",20.625013719,106.485832984
"Huyện Vĩnh Bảo, Thành phố Hải Phòng",20.597919813,106.400876677
"Huyện Cát Hải, Thành phố Hải Phòng",20.6131708770001,106.83616751
"Huyện Bạch Long Vĩ, Thành phố Hải Phòng",20.1271484690001,107.716621313
"Thành phố Hưng Yên, Tỉnh Hưng Yên",20.6032446670001,106.004407922
"Huyện Văn Lâm, Tỉnh Hưng Yên",20.937653031,105.961210618
"Huyện Văn Giang, Tỉnh Hưng Yên",20.88304221,105.895388504
"Huyện Yên Mỹ, Tỉnh Hưng Yên",20.8353003080001,105.961935407
"Thị xã Mỹ Hào, Tỉnh Hưng Yên",20.873382265,106.031606244
"Huyện Ân Thi, Tỉnh Hưng Yên",20.7265737970001,106.033579165
"Huyện Khoái Châu, Tỉnh Hưng Yên",20.757241734,105.910871206
"Huyện Kim Động, Tỉnh Hưng Yên",20.6945263380001,105.965210833
"Huyện Tiên Lữ, Tỉnh Hưng Yên",20.632499221,106.075940392
"Huyện Phù Cừ, Tỉnh Hưng Yên",20.6411340650001,106.11807364
"Thành phố Thái Bình, Tỉnh Thái Bình",20.399539937,106.296962142
"Huyện Quỳnh Phụ, Tỉnh Thái Bình",20.566702988,106.248964817
"Huyện Hưng Hà, Tỉnh Thái Bình",20.5115972180001,106.110002917
"Huyện Đông Hưng, Tỉnh Thái Bình",20.482382522,106.235187782
"Huyện Thái Thụy, Tỉnh Thái Bình",20.442850843,106.430976741
"Huyện Tiền Hải, Tỉnh Thái Bình",20.253033293,106.462630735
"Huyện Kiến Xương, Tỉnh Thái Bình",20.2893971550001,106.356336208
"Thành phố Phủ Lý, Tỉnh Hà Nam",20.4835883750001,105.8766853
"Thị xã Duy Tiên, Tỉnh Hà Nam",20.5585924660001,105.890993613
"Huyện Kim Bảng, Tỉnh Hà Nam",20.47751269,105.769778262
"Huyện Thanh Liêm, Tỉnh Hà Nam",20.3631382670001,105.85143138
"Huyện Bình Lục, Tỉnh Hà Nam",20.3955570410001,105.980974559
"Huyện Lý Nhân, Tỉnh Hà Nam",20.468469021,105.980900693
"Thành phố Nam Định, Tỉnh Nam Định",20.3755923640001,106.117928487
"Huyện Mỹ Lộc, Tỉnh Nam Định",20.41124302,106.042784237
"Huyện Vụ Bản, Tỉnh Nam Định",20.3009392880001,106.019916883
"Huyện Ý Yên, Tỉnh Nam Định",20.2170467550001,105.924254006
"Huyện Nghĩa Hưng, Tỉnh Nam Định",19.8898377780001,106.095022338
"Huyện Nam Trực, Tỉnh Nam Định",20.25136337,106.147780551
"Huyện Trực Ninh, Tỉnh Nam Định",20.142260423,106.177438532
"Huyện Xuân Trường, Tỉnh Nam Định",20.216790362,106.293952791
"Huyện Giao Thủy, Tỉnh Nam Định",20.178002216,106.350519132
"Huyện Hải Hậu, Tỉnh Nam Định",19.987986113,106.178322144
"Thành phố Ninh Bình, Tỉnh Ninh Bình",20.1993614470001,105.927275976
"Thành phố Tam Điệp, Tỉnh Ninh Bình",20.1020515430001,105.792617578
"Huyện Nho Quan, Tỉnh Ninh Bình",20.16851353,105.542850372
"Huyện Gia Viễn, Tỉnh Ninh Bình",20.2328465960001,105.794817261
"Huyện Hoa Lư, Tỉnh Ninh Bình",20.1723225380001,105.877450901
"Huyện Yên Khánh, Tỉnh Ninh Bình",20.123869644,105.987651015
"Huyện Kim Sơn, Tỉnh Ninh Bình",19.9174696900001,106.024606693
"Huyện Yên Mô, Tỉnh Ninh Bình",20.0597814870001,105.923920724
"Thành phố Thanh Hóa, Tỉnh Thanh Hóa",19.731987551,105.722979656
"Thị xã Bỉm Sơn, Tỉnh Thanh Hóa",20.0443894690001,105.834317434
"Thành phố Sầm Sơn, Tỉnh Thanh Hóa",19.7205852430001,105.878520073
"Huyện Mường Lát, Tỉnh Thanh Hóa",20.3685810900001,104.374316969
"Huyện Quan Hóa, Tỉnh Thanh Hóa",20.301899765,104.701445648
"Huyện Bá Thước, Tỉnh Thanh Hóa",20.1854797660001,105.069475531
"Huyện Quan Sơn, Tỉnh Thanh Hóa",20.098325323,104.609304076
"Huyện Lang Chánh, Tỉnh Thanh Hóa",20.001952051,104.972802053
"Huyện Ngọc Lặc, Tỉnh Thanh Hóa",19.92044787,105.246713147
"Huyện Cẩm Thủy, Tỉnh Thanh Hóa",20.0727047570001,105.314378572
"Huyện Thạch Thành, Tỉnh Thanh Hóa",20.036066991,105.409796618
"Huyện Hà Trung, Tỉnh Thanh Hóa",19.9537774350001,105.745014697
"Huyện Vĩnh Lộc, Tỉnh Thanh Hóa",19.957688881,105.553901201
"Huyện Yên Định, Tỉnh Thanh Hóa",19.93052629,105.460257197
"Huyện Thọ Xuân, Tỉnh Thanh Hóa",19.815832614,105.372920846
"Huyện Thường Xuân, Tỉnh Thanh Hóa",19.7091778130001,104.912062711
"Huyện Triệu Sơn, Tỉnh Thanh Hóa",19.712230834,105.42630482
"Huyện Thiệu Hóa, Tỉnh Thanh Hóa",19.8385271060001,105.582044039
"Huyện Hoằng Hóa, Tỉnh Thanh Hóa",19.7702674340001,105.757332094
"Huyện Hậu Lộc, Tỉnh Thanh Hóa",19.8800587060001,105.769998286
"Huyện Nga Sơn, Tỉnh Thanh Hóa",19.940113653,105.910066161
"Huyện Như Xuân, Tỉnh Thanh Hóa",19.44192007,105.153393723
"Huyện Như Thanh, Tỉnh Thanh Hóa",19.3682779390001,105.447758349
"Huyện Nông Cống, Tỉnh Thanh Hóa",19.47718766,105.595691954
"Huyện Đông Sơn, Tỉnh Thanh Hóa",19.727988215,105.647683534
"Huyện Quảng Xương, Tỉnh Thanh Hóa",19.580242835,105.711346124
"Thị xã Nghi Sơn, Tỉnh Thanh Hóa",19.2876868810001,105.629143217
"Thành phố Vinh, Tỉnh Nghệ An",18.639622322,105.633982842
"Thị xã Cửa Lò, Tỉnh Nghệ An",18.748910628,105.690640001
"Thị xã Thái Hoà, Tỉnh Nghệ An",19.230355848,105.34482414
"Huyện Quế Phong, Tỉnh Nghệ An",19.4127745370001,104.628930926
"Huyện Quỳ Châu, Tỉnh Nghệ An",19.323351367,104.8177741
"Huyện Kỳ Sơn, Tỉnh Nghệ An",19.1104649760001,103.874272909
"Huyện Tương Dương, Tỉnh Nghệ An",18.9805240790001,104.266902751
"Huyện Nghĩa Đàn, Tỉnh Nghệ An",19.172629204,105.293081435
"Huyện Quỳ Hợp, Tỉnh Nghệ An",19.158732892,104.972105556
"Huyện Quỳnh Lưu, Tỉnh Nghệ An",19.0848050550001,105.433235826
"Huyện Con Cuông, Tỉnh Nghệ An",18.7736787870001,104.529638312
"Huyện Tân Kỳ, Tỉnh Nghệ An",18.975266263,105.045178945
"Huyện Anh Sơn, Tỉnh Nghệ An",18.759971013,104.899465938
"Huyện Diễn Châu, Tỉnh Nghệ An",18.8583519470001,105.495869804
"Huyện Yên Thành, Tỉnh Nghệ An",18.878400689,105.298050166
"Huyện Đô Lương, Tỉnh Nghệ An",18.7741732710001,105.218165747
"Huyện Thanh Chương, Tỉnh Nghệ An",18.5789066990001,104.935508947
"Huyện Nghi Lộc, Tỉnh Nghệ An",18.6877209150001,105.466120068
"Huyện Nam Đàn, Tỉnh Nghệ An",18.5531138630001,105.403271245
"Huyện Hưng Nguyên, Tỉnh Nghệ An",18.568180324,105.554333667
"Thị xã Hoàng Mai, Tỉnh Nghệ An",19.185702319,105.624283018
"Thành phố Hà Tĩnh, Tỉnh Hà Tĩnh",18.3077733380001,105.860874831
"Thị xã Hồng Lĩnh, Tỉnh Hà Tĩnh",18.486909693,105.660658805
"Huyện Hương Sơn, Tỉnh Hà Tĩnh",18.2677234810001,105.104149375
"Huyện Đức Thọ, Tỉnh Hà Tĩnh",18.3935368140001,105.53842479
"Huyện Vũ Quang, Tỉnh Hà Tĩnh",18.1545508830001,105.256093635
"Huyện Nghi Xuân, Tỉnh Hà Tĩnh",18.5239094470001,105.674329257
"Huyện Can Lộc, Tỉnh Hà Tĩnh",18.3209425960001,105.630665446
"Huyện Hương Khê, Tỉnh Hà Tĩnh",17.99164361,105.45180973
"Huyện Thạch Hà, Tỉnh Hà Tĩnh",18.1719261870001,105.749290811
"Huyện Cẩm Xuyên, Tỉnh Hà Tĩnh",18.0340101240001,105.854586242
"Huyện Kỳ Anh, Tỉnh Hà Tĩnh",17.9106663430001,106.014471063
"Huyện Lộc Hà, Tỉnh Hà Tĩnh",18.386961048,105.810602999
"Thị xã Kỳ Anh, Tỉnh Hà Tĩnh",17.9496511410001,106.255035413
"Thành Phố Đồng Hới, Tỉnh Quảng Bình",17.3657391620001,106.492392881
"Huyện Minh Hóa, Tỉnh Quảng Bình",17.5028991140001,105.608365247
"Huyện Tuyên Hóa, Tỉnh Quảng Bình",17.70963298,105.642200654
"Huyện Quảng Trạch, Tỉnh Quảng Bình",17.753514796,106.261207837
"Huyện Bố Trạch, Tỉnh Quảng Bình",17.2438472040001,105.964408279
"Huyện Quảng Ninh, Tỉnh Quảng Bình",17.070772397,106.287663534
"Huyện Lệ Thủy, Tỉnh Quảng Bình",16.9219646070001,106.402292078
"Thị xã Ba Đồn, Tỉnh Quảng Bình",17.6761275490001,106.235360543
"Thành phố Đông Hà, Tỉnh Quảng Trị",16.7434753050001,107.030546166
"Thị xã Quảng Trị, Tỉnh Quảng Trị",16.6279244900001,107.067380959
"Huyện Vĩnh Linh, Tỉnh Quảng Trị",16.889195891,106.681498431
"Huyện Hướng Hóa, Tỉnh Quảng Trị",16.410587032,106.515453464
"Huyện Gio Linh, Tỉnh Quảng Trị",16.810219546,106.68636699
"Huyện Đa Krông, Tỉnh Quảng Trị",16.2966460170001,106.711508374
"Huyện Cam Lộ, Tỉnh Quảng Trị",16.6849699740001,106.830019224
"Huyện Triệu Phong, Tỉnh Quảng Trị",16.6450696220001,107.002373287
"Huyện Hải Lăng, Tỉnh Quảng Trị",16.5665174280001,107.079961067
"Huyện Cồn Cỏ, Tỉnh Quảng Trị",17.1501777140001,107.331743022
"Thành phố Huế, Tỉnh Thừa Thiên Huế",16.398575156,107.525669329
"Huyện Phong Điền, Tỉnh Thừa Thiên Huế",16.345500395,107.056590179
"Huyện Quảng Điền, Tỉnh Thừa Thiên Huế",16.5124788380001,107.407220004
"Huyện Phú Vang, Tỉnh Thừa Thiên Huế",16.335229971,107.574117905
